Trade History Report
Account: 12345678, Name: Demo Trader, Server: Broker-Demo

Deals
Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Fee,Swap,Profit,Balance,Comment
2026.08.11 10:00:00,500001,,balance,,,,,0.00,0.00,0.00,100000.00,100000.00,Deposit
2026.08.11 16:31:05,500002,EURUSD,buy,in,1.00,1.09250,600002,-3.50,0.00,0.00,0.00,,
2026.08.11 16:44:10,500003,EURUSD,sell,out,1.00,1.09310,600003,-3.50,0.00,0.00,60.00,100053.00,
2026.08.12 15:05:12,500004,XAUUSD,sell,in,0.50,2405.10,600004,-2.00,0.00,0.00,0.00,,
2026.08.12 15:20:40,500005,XAUUSD,buy,out,0.20,2402.60,600005,-0.80,0.00,0.00,50.00,,
2026.08.12 16:02:11,500006,XAUUSD,buy,out,0.30,2409.00,600006,-1.20,0.00,-0.50,-117.00,,
2026.08.13 09:15:00,500007,US30,buy,in,1.00,44500.0,600007,-1.00,0.00,0.00,0.00,,
2026.08.13 09:40:00,500008,US30,sell,in/out,2.00,44530.0,600008,-2.00,0.00,0.00,30.00,,
2026.08.13 10:10:00,500009,US30,buy,out,1.00,44510.0,600009,-1.00,0.00,0.00,20.00,,
,,,,,,,,,-15.00,-0.50,43.00,100043.00,
